client_id,country,account_type,join_date,deposit_usd
1,Malaysia,cTrader,2026-04-12,500
2,Thailand,cTrader,2025-10-17,1000
3,Thailand,Raw Spread,2026-03-23,2500
4,Thailand,Standard,2026-04-05,500
5,Thailand,cTrader,2025-12-05,500
6,Indonesia,cTrader,2025-11-29,5000
7,Thailand,Standard,2025-11-30,2500
8,Indonesia,cTrader,2025-12-21,10000
9,Malaysia,Raw Spread,2026-05-21,1000
10,Thailand,Standard,2025-08-10,500
11,Thailand,Standard,2025-10-20,500
12,Thailand,Raw Spread,2026-02-18,2500
13,Vietnam,Raw Spread,2025-11-28,2500
14,Vietnam,Standard,2026-02-04,500
15,Vietnam,Standard,2025-10-23,500
16,Malaysia,Raw Spread,2025-12-23,2500
17,Malaysia,Standard,2025-07-26,2500
18,Malaysia,cTrader,2026-03-23,2500
19,Philippines,Raw Spread,2026-05-18,2500
20,Vietnam,Raw Spread,2026-04-23,500
21,Malaysia,Raw Spread,2026-05-10,5000
22,Vietnam,cTrader,2025-07-20,1000
23,Malaysia,cTrader,2026-03-15,5000
24,Malaysia,Standard,2025-11-13,500
25,Thailand,Standard,2025-08-21,5000
26,Philippines,Standard,2025-08-23,500
27,Thailand,cTrader,2026-05-18,2500
28,Thailand,Standard,2025-07-25,500
29,Vietnam,Standard,2025-12-02,2500
30,Thailand,Standard,2026-04-12,2500
31,Singapore,Standard,2025-08-23,1000
32,Indonesia,Raw Spread,2025-10-19,5000
33,Vietnam,Raw Spread,2026-04-27,2500
34,Malaysia,Raw Spread,2025-12-09,500
35,Malaysia,cTrader,2026-02-12,5000
36,Philippines,Raw Spread,2025-11-08,500
37,Vietnam,Raw Spread,2026-02-06,5000
38,Malaysia,Standard,2025-10-04,500
39,Thailand,Raw Spread,2025-10-27,500
40,Thailand,Raw Spread,2026-03-27,1000
41,Malaysia,Raw Spread,2025-08-19,25000
42,Vietnam,Standard,2026-04-30,500
43,Singapore,cTrader,2025-10-17,1000
44,Malaysia,Standard,2025-07-27,500
45,Thailand,Standard,2025-08-09,2500
46,Malaysia,Raw Spread,2025-08-04,2500
47,Philippines,Standard,2025-07-18,1000
48,Vietnam,Raw Spread,2026-04-18,1000
49,Malaysia,Raw Spread,2025-11-04,1000
50,Thailand,Standard,2025-08-06,2500
51,Philippines,cTrader,2025-10-29,500
52,Malaysia,Standard,2025-09-25,1000
53,Vietnam,Raw Spread,2025-11-04,2500
54,Singapore,Raw Spread,2026-01-02,10000
55,Philippines,cTrader,2026-01-13,500
56,Malaysia,Raw Spread,2026-04-10,500
57,Singapore,Standard,2025-12-17,1000
58,Thailand,Standard,2025-09-06,500
59,Indonesia,Standard,2026-02-07,5000
60,Singapore,Standard,2025-11-03,500
61,Singapore,Standard,2026-03-03,2500
62,Malaysia,Standard,2025-09-20,2500
63,Singapore,Standard,2026-03-31,1000
64,Indonesia,Standard,2025-09-29,1000
65,Thailand,Raw Spread,2026-01-17,500
66,Indonesia,Raw Spread,2026-03-25,500
67,Indonesia,Standard,2025-07-12,500
68,Malaysia,Raw Spread,2026-03-18,10000
69,Indonesia,Raw Spread,2025-09-28,1000
70,Malaysia,cTrader,2025-07-18,2500
71,Malaysia,Standard,2025-11-11,500
72,Indonesia,Raw Spread,2026-03-11,1000
73,Vietnam,Standard,2026-02-15,1000
74,Thailand,Standard,2025-08-17,1000
75,Indonesia,Standard,2025-11-01,25000
76,Indonesia,cTrader,2025-12-13,2500
77,Singapore,Raw Spread,2025-09-08,1000
78,Malaysia,Standard,2026-01-15,500
