date,pair,open,high,low,close,volume
2025-07-01,EURUSD,1.085,1.08784,1.0826,1.08522,58381
2025-07-02,EURUSD,1.08522,1.08854,1.08493,1.08674,47450
2025-07-03,EURUSD,1.08674,1.08646,1.08506,1.08576,26137
2025-07-04,EURUSD,1.08576,1.0855,1.07873,1.08211,44026
2025-07-07,EURUSD,1.08211,1.08202,1.0787,1.08036,49365
2025-07-08,EURUSD,1.08036,1.0785,1.07408,1.07629,15756
2025-07-09,EURUSD,1.07629,1.0803,1.07323,1.07676,13784
2025-07-10,EURUSD,1.07676,1.08688,1.07862,1.08275,12531
2025-07-11,EURUSD,1.08275,1.08128,1.08039,1.08084,7495
2025-07-14,EURUSD,1.08084,1.07839,1.07835,1.07837,22678
2025-07-15,EURUSD,1.07837,1.08499,1.0764,1.0807,48660
2025-07-16,EURUSD,1.0807,1.08805,1.07687,1.08246,47254
2025-07-17,EURUSD,1.08246,1.08788,1.07839,1.08313,25787
2025-07-18,EURUSD,1.08313,1.08082,1.07782,1.07932,31844
2025-07-21,EURUSD,1.07932,1.0819,1.07691,1.07941,47198
2025-07-22,EURUSD,1.07941,1.08385,1.08139,1.08262,55775
2025-07-23,EURUSD,1.08262,1.08546,1.06857,1.07702,20483
2025-07-24,EURUSD,1.07702,1.07607,1.07446,1.07526,41101
2025-07-25,EURUSD,1.07526,1.0675,1.0671,1.0673,37656
2025-07-28,EURUSD,1.0673,1.06227,1.06174,1.06201,39149
2025-07-29,EURUSD,1.06201,1.0578,1.05099,1.0544,49146
2025-07-30,EURUSD,1.0544,1.05447,1.05277,1.05362,47223
2025-07-31,EURUSD,1.05362,1.04905,1.04793,1.04849,26754
2025-08-01,EURUSD,1.04849,1.05358,1.04609,1.04983,46264
2025-08-04,EURUSD,1.04983,1.05176,1.04965,1.0507,8012
2025-08-05,EURUSD,1.0507,1.05014,1.05011,1.05013,23911
2025-08-06,EURUSD,1.05013,1.04453,1.035,1.03976,16968
2025-08-07,EURUSD,1.03976,1.03946,1.036,1.03773,19135
2025-08-08,EURUSD,1.03773,1.03895,1.03653,1.03774,54603
2025-08-11,EURUSD,1.03774,1.04408,1.03276,1.03842,29069
2025-08-12,EURUSD,1.03842,1.03713,1.02741,1.03227,9014
2025-08-13,EURUSD,1.03227,1.03348,1.02752,1.0305,31908
2025-08-14,EURUSD,1.0305,1.0295,1.02385,1.02667,8808
2025-08-15,EURUSD,1.02667,1.02561,1.0215,1.02356,12794
2025-08-18,EURUSD,1.02356,1.02845,1.02777,1.02811,26092
2025-08-19,EURUSD,1.02811,1.02565,1.02433,1.02499,29273
2025-08-20,EURUSD,1.02499,1.02584,1.02429,1.02506,17758
2025-08-21,EURUSD,1.02506,1.02952,1.02827,1.02889,40190
2025-08-22,EURUSD,1.02889,1.02687,1.02653,1.0267,32328
2025-08-25,EURUSD,1.0267,1.0311,1.02179,1.02644,12464
2025-08-26,EURUSD,1.02644,1.02882,1.02539,1.0271,50216
2025-08-27,EURUSD,1.0271,1.02775,1.02739,1.02757,12592
2025-08-28,EURUSD,1.02757,1.02452,1.02096,1.02274,24768
2025-08-29,EURUSD,1.02274,1.02521,1.02131,1.02326,14554
2025-09-01,EURUSD,1.02326,1.03397,1.02408,1.02902,56887
2025-09-02,EURUSD,1.02902,1.02442,1.02131,1.02286,20583
2025-09-03,EURUSD,1.02286,1.02679,1.02637,1.02658,52689
2025-09-04,EURUSD,1.02658,1.02834,1.02621,1.02728,57894
2025-09-05,EURUSD,1.02728,1.02826,1.02144,1.02485,17049
2025-09-08,EURUSD,1.02485,1.03346,1.03305,1.03325,6418
2025-09-09,EURUSD,1.03325,1.03933,1.03389,1.03661,5740
2025-09-10,EURUSD,1.03661,1.03306,1.03063,1.03184,15105
2025-09-11,EURUSD,1.03184,1.03306,1.03165,1.03236,27029
2025-09-12,EURUSD,1.03236,1.03563,1.03426,1.03495,14077
2025-09-15,EURUSD,1.03495,1.03471,1.03403,1.03437,57632
2025-09-16,EURUSD,1.03437,1.04236,1.03245,1.0374,31089
2025-09-17,EURUSD,1.0374,1.03807,1.0366,1.03734,51639
2025-09-18,EURUSD,1.03734,1.04298,1.03764,1.04031,5829
2025-09-19,EURUSD,1.04031,1.04928,1.04373,1.04651,12286
2025-09-22,EURUSD,1.04651,1.0463,1.04147,1.04389,30199
2025-09-23,EURUSD,1.04389,1.04675,1.04313,1.04494,13947
2025-09-24,EURUSD,1.04494,1.04799,1.03844,1.04322,13960
2025-09-25,EURUSD,1.04322,1.04494,1.04297,1.04396,6325
2025-09-26,EURUSD,1.04396,1.04108,1.03733,1.03921,19830
2025-09-29,EURUSD,1.03921,1.0376,1.03641,1.03701,46983
2025-09-30,EURUSD,1.03701,1.03641,1.03639,1.0364,48584
2025-10-01,EURUSD,1.0364,1.04343,1.03723,1.04033,32990
2025-10-02,EURUSD,1.04033,1.04675,1.04386,1.04531,15123
2025-10-03,EURUSD,1.04531,1.04627,1.03369,1.03998,29741
2025-10-06,EURUSD,1.03998,1.03769,1.03608,1.03688,38942
2025-10-07,EURUSD,1.03688,1.04041,1.03914,1.03978,13092
2025-10-08,EURUSD,1.03978,1.03493,1.02846,1.0317,27347
2025-10-09,EURUSD,1.0317,1.03098,1.02901,1.02999,50264
2025-10-10,EURUSD,1.02999,1.03365,1.02594,1.0298,27967
2025-10-13,EURUSD,1.0298,1.03862,1.03174,1.03518,30882
2025-10-14,EURUSD,1.03518,1.04223,1.03426,1.03824,49926
2025-10-15,EURUSD,1.03824,1.03991,1.03427,1.03709,41921
2025-10-16,EURUSD,1.03709,1.03913,1.03241,1.03577,13850
2025-10-17,EURUSD,1.03577,1.03967,1.03021,1.03494,38534
2025-10-20,EURUSD,1.03494,1.04226,1.04064,1.04145,55809
2025-10-21,EURUSD,1.04145,1.04161,1.03815,1.03988,16654
2025-10-22,EURUSD,1.03988,1.04491,1.03274,1.03882,54141
2025-10-23,EURUSD,1.03882,1.04111,1.03988,1.0405,37255
2025-10-24,EURUSD,1.0405,1.04205,1.03835,1.0402,41757
2025-10-27,EURUSD,1.0402,1.04381,1.03537,1.03959,23214
2025-10-28,EURUSD,1.03959,1.03529,1.03504,1.03516,7719
2025-10-29,EURUSD,1.03516,1.03992,1.03073,1.03532,6468
2025-10-30,EURUSD,1.03532,1.03667,1.03072,1.03369,41481
2025-10-31,EURUSD,1.03369,1.04166,1.03579,1.03872,59054
2025-11-03,EURUSD,1.03872,1.04432,1.03897,1.04164,38019
2025-11-04,EURUSD,1.04164,1.04333,1.04018,1.04175,24682
2025-11-05,EURUSD,1.04175,1.04566,1.04383,1.04474,47471
2025-11-06,EURUSD,1.04474,1.04418,1.04289,1.04353,56999
2025-11-07,EURUSD,1.04353,1.04881,1.04746,1.04813,16760
2025-11-10,EURUSD,1.04813,1.04925,1.04739,1.04832,10710
2025-11-11,EURUSD,1.04832,1.05192,1.05003,1.05098,57434
2025-11-12,EURUSD,1.05098,1.04589,1.04563,1.04576,7483
2025-11-13,EURUSD,1.04576,1.04807,1.04677,1.04742,53740
2025-11-14,EURUSD,1.04742,1.04082,1.04029,1.04056,12920
2025-11-17,EURUSD,1.04056,1.03385,1.03073,1.03229,11289
2025-11-18,EURUSD,1.03229,1.03703,1.02545,1.03124,20211
2025-11-19,EURUSD,1.03124,1.02956,1.02591,1.02774,22336
2025-11-20,EURUSD,1.02774,1.02879,1.02844,1.02862,23188
2025-11-21,EURUSD,1.02862,1.04331,1.03281,1.03806,6784
2025-11-24,EURUSD,1.03806,1.03602,1.03361,1.03481,51971
2025-11-25,EURUSD,1.03481,1.03847,1.02641,1.03244,50702
2025-11-26,EURUSD,1.03244,1.03786,1.02912,1.03349,42412
2025-11-27,EURUSD,1.03349,1.03839,1.03308,1.03574,55330
2025-11-28,EURUSD,1.03574,1.03741,1.03302,1.03521,56575
2025-12-01,EURUSD,1.03521,1.03503,1.0341,1.03457,59439
2025-12-02,EURUSD,1.03457,1.043,1.03236,1.03768,25654
2025-12-03,EURUSD,1.03768,1.0412,1.03889,1.04005,38655
2025-12-04,EURUSD,1.04005,1.03806,1.03384,1.03595,46972
2025-12-05,EURUSD,1.03595,1.03781,1.03385,1.03583,41629
2025-12-08,EURUSD,1.03583,1.0432,1.02917,1.03619,48517
2025-12-09,EURUSD,1.03619,1.03269,1.03135,1.03202,42312
2025-12-10,EURUSD,1.03202,1.03572,1.03089,1.0333,26292
2025-12-11,EURUSD,1.0333,1.03358,1.02635,1.02996,36358
2025-12-12,EURUSD,1.02996,1.03435,1.034,1.03417,15950
2025-12-15,EURUSD,1.03417,1.03573,1.03463,1.03518,57383
2025-12-16,EURUSD,1.03518,1.03933,1.03218,1.03575,54237
2025-12-17,EURUSD,1.03575,1.03387,1.03315,1.03351,38432
2025-12-18,EURUSD,1.03351,1.0368,1.02966,1.03323,47203
2025-12-19,EURUSD,1.03323,1.0286,1.02176,1.02518,23464
2025-12-22,EURUSD,1.02518,1.024,1.01749,1.02074,25986
2025-12-23,EURUSD,1.02074,1.02576,1.0191,1.02243,33208
2025-12-24,EURUSD,1.02243,1.01537,1.01249,1.01393,19526
2025-12-25,EURUSD,1.01393,1.01914,1.01599,1.01757,6026
2025-12-26,EURUSD,1.01757,1.01106,1.01026,1.01066,26753
2025-12-29,EURUSD,1.01066,1.01511,1.01274,1.01392,44826
2025-12-30,EURUSD,1.01392,1.01173,1.00967,1.0107,19335
2025-12-31,EURUSD,1.0107,1.018,1.01009,1.01405,43165
2026-01-01,EURUSD,1.01405,1.01918,1.01039,1.01478,37944
2026-01-02,EURUSD,1.01478,1.01115,1.00634,1.00875,28157
2026-01-05,EURUSD,1.00875,1.01457,1.01341,1.01399,44905
2026-01-06,EURUSD,1.01399,1.0207,1.01938,1.02004,51831
2026-01-07,EURUSD,1.02004,1.02304,1.01691,1.01998,57337
2026-01-08,EURUSD,1.01998,1.02436,1.01376,1.01906,46553
2026-01-09,EURUSD,1.01906,1.02101,1.01622,1.01861,10030
2026-01-12,EURUSD,1.01861,1.01538,1.01431,1.01484,23517
2026-01-13,EURUSD,1.01484,1.02071,1.01831,1.01951,34048
2026-01-14,EURUSD,1.01951,1.01865,1.01635,1.0175,9262
2026-01-15,EURUSD,1.0175,1.02063,1.01435,1.01749,28002
2026-01-16,EURUSD,1.01749,1.01511,1.01383,1.01447,12272
2026-01-19,EURUSD,1.01447,1.01581,1.00844,1.01213,35470
2026-01-20,EURUSD,1.01213,1.00997,1.00435,1.00716,15134
2026-01-21,EURUSD,1.00716,1.01487,1.00998,1.01242,19908
2026-01-22,EURUSD,1.01242,1.01341,1.01059,1.012,21715
2026-01-23,EURUSD,1.012,1.0219,1.01033,1.01612,58527
2026-01-26,EURUSD,1.01612,1.02048,1.01226,1.01637,29613
2026-01-27,EURUSD,1.01637,1.01557,1.01193,1.01375,35570
2026-01-28,EURUSD,1.01375,1.01671,1.00855,1.01263,56039
2026-01-29,EURUSD,1.01263,1.01173,1.0094,1.01056,5762
2026-01-30,EURUSD,1.01056,1.0117,1.0099,1.0108,20312
2026-02-02,EURUSD,1.0108,1.01289,1.00607,1.00948,28352
2026-02-03,EURUSD,1.00948,1.01615,1.0008,1.00847,54422
2026-02-04,EURUSD,1.00847,1.00364,1.00259,1.00311,44741
2026-02-05,EURUSD,1.00311,1.00484,0.99531,1.00008,42425
2026-02-06,EURUSD,1.00008,1.00885,1.00494,1.00689,25808
2026-02-09,EURUSD,1.00689,1.00489,1.0039,1.00439,51942
2026-02-10,EURUSD,1.00439,1.00537,0.99534,1.00036,15232
2026-02-11,EURUSD,1.00036,1.00306,1.00076,1.00191,27178
2026-02-12,EURUSD,1.00191,1.01072,1.00477,1.00775,24609
2026-02-13,EURUSD,1.00775,1.00585,0.99833,1.00209,5180
2026-02-16,EURUSD,1.00209,1.00467,0.99823,1.00145,10029
2026-02-17,EURUSD,1.00145,1.00013,0.99811,0.99912,48283
2026-02-18,EURUSD,0.99912,0.99539,0.98918,0.99228,56922
2026-02-19,EURUSD,0.99228,0.9969,0.9939,0.9954,18501
2026-02-20,EURUSD,0.9954,0.99688,0.99413,0.99551,9252
2026-02-23,EURUSD,0.99551,0.99614,0.99584,0.99599,12836
2026-02-24,EURUSD,0.99599,0.99479,0.99159,0.99319,8218
2026-02-25,EURUSD,0.99319,0.99767,0.99273,0.9952,48972
2026-02-26,EURUSD,0.9952,0.99416,0.99234,0.99325,7666
2026-02-27,EURUSD,0.99325,0.99594,0.98982,0.99288,42748
2026-03-02,EURUSD,0.99288,0.9925,0.98485,0.98868,48647
2026-03-03,EURUSD,0.98868,0.98421,0.98392,0.98406,16682
2026-03-04,EURUSD,0.98406,0.99214,0.9869,0.98952,17595
