trade_id,date,client_id,pair,side,lots,profit_usd
2905,2025-07-01,89,XAUUSD,buy,1.0,74.97
1713,2025-07-01,27,EURUSD,buy,2.0,69.01
730,2025-07-01,58,GBPUSD,sell,0.05,0.17
2438,2025-07-01,197,EURUSD,sell,1.0,241.01
2623,2025-07-01,9,EURUSD,buy,0.1,1.18
2999,2025-07-01,126,EURUSD,sell,0.1,-16.06
316,2025-07-01,127,GBPUSD,sell,0.1,9.45
2389,2025-07-01,84,USDJPY,sell,0.1,7.56
1607,2025-07-01,180,EURUSD,sell,0.01,-1.03
207,2025-07-01,51,USDJPY,buy,0.05,-4.38
1246,2025-07-02,111,GBPUSD,buy,0.1,4.56
1012,2025-07-02,34,EURUSD,buy,0.01,-0.4
1393,2025-07-02,98,USDJPY,buy,0.5,-0.64
1137,2025-07-02,118,USDJPY,sell,0.01,0.48
178,2025-07-02,6,XAUUSD,sell,2.0,-249.89
2174,2025-07-02,188,GBPUSD,buy,0.01,0.41
1858,2025-07-02,163,EURUSD,buy,0.05,-0.25
2188,2025-07-02,26,XAUUSD,sell,0.1,4.41
2287,2025-07-02,200,EURUSD,buy,0.01,-0.68
1247,2025-07-03,175,EURUSD,sell,0.01,1.13
2140,2025-07-03,57,XAUUSD,buy,0.05,-8.97
968,2025-07-03,61,GBPUSD,buy,0.1,6.87
915,2025-07-03,101,XAUUSD,buy,0.01,-0.11
2046,2025-07-03,14,GBPUSD,sell,0.05,1.96
1778,2025-07-03,3,USDJPY,buy,0.01,-0.17
2263,2025-07-03,153,XAUUSD,sell,0.1,0.73
345,2025-07-03,191,XAUUSD,buy,0.5,58.2
1666,2025-07-04,50,XAUUSD,buy,0.1,25.06
1009,2025-07-04,196,USDJPY,sell,0.1,-3.94
1640,2025-07-04,79,XAUUSD,buy,0.5,77.2
1636,2025-07-04,145,EURUSD,buy,0.01,0.19
1461,2025-07-04,194,EURUSD,buy,1.0,-56.48
1681,2025-07-04,92,GBPUSD,sell,0.05,2.78
446,2025-07-04,66,XAUUSD,buy,0.1,29.61
1073,2025-07-04,56,EURUSD,sell,0.05,-0.93
2262,2025-07-04,166,XAUUSD,buy,0.5,-19.05
1773,2025-07-04,83,EURUSD,sell,0.5,30.84
241,2025-07-07,16,XAUUSD,buy,0.5,-176.68
1589,2025-07-07,14,GBPUSD,buy,1.0,23.45
2679,2025-07-07,101,USDJPY,sell,0.5,11.37
1014,2025-07-07,143,USDJPY,sell,0.1,-2.16
1746,2025-07-07,113,XAUUSD,buy,0.5,-58.92
1622,2025-07-07,117,EURUSD,buy,0.01,0.08
267,2025-07-07,3,GBPUSD,sell,2.0,-232.34
1164,2025-07-07,45,USDJPY,buy,0.01,-0.45
1167,2025-07-07,13,GBPUSD,sell,0.05,0.61
1839,2025-07-07,93,XAUUSD,buy,0.01,-0.33
1837,2025-07-07,53,USDJPY,buy,1.0,-52.4
